society,price,sector,pricePerSqft,propertyType,area,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,furnishDetails,features,balcony
  unitech escape,2.55,sector 50,16451.61,flat,1550.0,2.0,2.0,study room,"Unitech Escape Nirvana Country, Gurgaon",9.0,north-east,5 to 10 Year Old,"['Sector 55-56 Metro Station', 'Airia Mall', 'Sohna Road', 'Faridabad Gurgaon Road', 'St Xavier High School', 'Gurugram University', 'Park Hospital', 'IGI Airport', 'M3M IFC', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park']","['4 Fan', '1 Exhaust Fan', '1 Dining Table', '4 Geyser', '5 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', '4 AC', '4 Wardrobe', '1 Microwave', 'No Bed', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Separate entry for servant room', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
  m3m heights,3.42,sector 65,18708.97,flat,1828.0,3.0,3.0,"pooja room,study room,servant room,others","M3M Heights Sector 65, Gurgaon",30.0,north,0 to 1 Year Old,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School', 'DPG Institute of Technology', 'Park Hospital', 'Indira Gandhi International Airport', 'Lemon Tree Hotel', 'SkyJumper Trampoline Park', 'PVR Drive in Theatre']","['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '3 Geyser', '1 Stove', '10 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '3 Wardrobe', '1 Microwave', 'No Bed', 'No Curtains', 'No Dining Table', 'No Sofa', 'No TV', 'No Washing Machine']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  dependent house, sector 10, gurgaon",4.5,sector 10,,house,,9.0,9.0,"study room,store room","  dependent house, sector 10, gurgaon",3.0,north-east,1 to 5 Year Old,[],"['4 Wardrobe', '4 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '10 Light', '1 Modular Kitchen', '4 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Rain Water Harvesting']",3
  spaze kalistaa,4.65,sector 84,10946.33,flat,4248.0,4.0,4.0,"servant room,study room,pooja room,store room","Spaze Kalistaa Sector 84, Gurgaon",11.0,north-east,1 to 5 Year Old,"['Huda Metro Station', 'Vatika Town Square-INXT', 'Euro International School', 'DPG Degree College', 'Genesis Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction', 'Candor Infospace, Tower 2', 'Holiday Inn Gurugram Sector 90', 'AapnoGhar', 'Manesar Golf Course', 'Nakhrola Stadium']","['1 Water Purifier', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '10 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', '3 Wardrobe', '1 Washing Machine', '1 Microwave', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Sofa', 'No TV']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",
  godrej habitat,1.4,sector 3,9695.29,flat,1444.0,2.0,2.0,not available,"Godrej Habitat Sector 3, Gurgaon",5.0,na,1 to 5 Year Old,"['Huda City Centre Metro Station', 'Star Mall', 'Dwarka Expressway', 'National Highway 8', 'Gems International School', 'ICFAI University', 'Sneh Hospital', 'Indira Gandhi International Airport', 'Country Inn & Suites by Radisson', 'Appu Ghar Water Park', 'HUDA Mini Golf Course']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  sector 31, gurgaon",4.75,sector 31,,house,161.0,2.0,2.0,store room,"  sector 31, gurgaon",1.0,north-east,5 to 10 Year Old,"['Hanuman Mandir', 'Icici bank ATM', 'State bank of india ATM', 'Axis bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Axis bank ATM', 'Shivam Hospital Gurgaon', 'Ahmed Hospital Multi Speciality', 'Dispencery', 'Dayal Eye & Maternity Centre', 'Bansal Medicare and Maternity Centre', 'Pushpanjali Hospital', 'Pushpanjali Hospital Gurgaon', 'Kalyani Hospital Gurgaon', 'Medanta', 'Aarvy Hospital', 'Centre For Sight Gurgaon Sector 29', 'Saraswati Hospital Gurgaon', 'Gardian Pharmacy', 'City Medical', 'Gardian Pharmacy', 'IBP Petrol Pump', 'Indian Oil', 'Indian Oil', 'Hdfc bank', 'State bank of india sbi', 'Punjab national bank', 'Om Sweets', 'Fast Food', 'Fast food', 'Bar and restaurant', 'Cafe Coffee Day', 'Darbar', '32nd Milestone', 'Raj Restaurant', 'Dhabba', 'KFC', 'CR Model Public School', 'Salvan Public School', 'St. Angels Jr', 'govt sec school', 'Manav Rachna School', 'McKinsey & Company', 'Manav Rachna Swimming Pool', 'District library gurgaon']","['2 Wardrobe', '3 Fan', '1 Exhaust Fan', '12 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Visitor Parking', 'Natural Light', 'Airy Rooms']",0
  bestech park view grand spa,5.35,sector 81,12738.1,flat,4200.0,4.0,6.0,"servant room,study room","Bestech Park View Grand Spa Sector 81, Gurgaon",7.0,east,5 to 10 Year Old,"['Sapphire 83 Mall', 'NH-8, IMT Manesar', 'Dwarka Expressway', ""St. Xavier's High School"", 'Spectra Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Hyatt Regency Gurgaon', 'SkyJumper Trampoline Park', 'National Tennis Academy']","['5 Wardrobe', '8 Fan', '1 Exhaust Fan', '5 Geyser', '1 Microwave', '1 Stove', '13 Light', '1 Chimney', '1 Modular Kitchen', '7 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",
  indiabulls centrum park,1.4,sector 103,11200.0,flat,1250.0,2.0,2.0,not available,"Indiabulls Centrum Park Sector 103, Gurgaon",9.0,north-east,1 to 5 Year Old,"['Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Gurgaon Expressway', 'S N International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Emaar Business Park', 'Country Inn and Suites by Radisson', 'Sector 29 Gurgaon Pubs and Bars', 'HUDA Mini Golf Course', 'Infinitys Badminton Academy', 'F9 Go Karting Gurgaon']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,
  m3m heights,3.8,sector 65,18500.49,flat,2054.0,3.0,3.0,servant room,"M3M Heights Sector 65, Gurgaon",2.0,north-west,1 to 5 Year Old,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School', 'DPG Institute of Technology', 'Park Hospital', 'Indira Gandhi International Airport', 'Lemon Tree Hotel', 'SkyJumper Trampoline Park', 'PVR Drive in Theatre']","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '12 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
  adani m2k oyster grande,2.5,sector 102,13234.52,flat,1889.0,3.0,4.0,servant room,"Adani M2K Oyster Grande Sector 102, Gurgaon",10.0,north-east,5 to 10 Year Old,"['The Esplanade Mall', 'Dwarka Express Highway', 'Delhi Public School', 'SGT University', 'The Signature Hospital', 'Indira Gandhi Airport', 'Gurugram Railway Station', 'Nehru Stadium']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",,
  adani m2k oyster grande,5.9,sector 102,12972.74,flat,4548.0,4.0,4.0,"pooja room,servant room","Adani M2K Oyster Grande Sector 102, Gurgaon",5.0,east,1 to 5 Year Old,"['The Esplanade Mall', 'Dwarka Express Highway', 'Delhi Public School', 'SGT University', 'The Signature Hospital', 'Indira Gandhi Airport', 'Gurugram Railway Station', 'Nehru Stadium']","['6 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Dining Table', '5 Geyser', '8 Light', '1 Modular Kitchen', '1 Curtains', '8 AC', '1 Chimney', 'No Bed', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",
  tata primanti,5.75,sector 72,17424.24,flat,3300.0,4.0,5.0,servant room,"Tata Primanti Sector 72, Gurgaon",5.0,east,5 to 10 Year Old,"['Sector 55-56 Metro Station', 'Omaxe City Centre', 'Badshahpur Sohna Rd Highway', 'Pallavan PreSchool, Sohna Road', 'RBSM Public school', 'Polaris Hospital', 'Indira Gandhi International Airport', 'Gurgaon Old Railway Road', 'Spaze Itech Park', 'Radisson Hotel Gurugram Sohna Road']","['1 Water Purifier', '7 Fan', '1 Exhaust Fan', '6 Geyser', '1 Stove', '20 Light', '6 AC', '1 Curtains', '1 Modular Kitchen', '1 Chimney', '4 Wardrobe', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
  adani m2k oyster grande,2.25,sector 102,13321.49,flat,1689.0,3.0,3.0,others,"Adani M2K Oyster Grande Sector 102, Gurgaon",6.0,north-east,1 to 5 Year Old,"['The Esplanade Mall', 'Dwarka Express Highway', 'Delhi Public School', 'SGT University', 'The Signature Hospital', 'Indira Gandhi Airport', 'Gurugram Railway Station', 'Nehru Stadium']","['3 Wardrobe', '8 Fan', '1 Exhaust Fan', '10 Light', '5 AC', '1 Modular Kitchen', '1 Curtains', '1 Chimney', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",
  dlf new town heights 2,2.38,sector 86,10101.87,flat,2356.0,4.0,4.0,"pooja room,servant room","DLF New Town Heights 2 Sector 86, Gurgaon",3.0,north-east,1 to 5 Year Old,"['City Square', 'Vatika Town Square', 'Bharat Ram Global School', 'Shishu Kalyan School', 'DSD College', 'Amity University', 'ICFAI University', 'Canara Bank ATM', 'Axis Bank ATM', 'Arc Hospital', 'Rathore IMT Hospital', 'Indira Gandhi Airport', 'Yes Bank', 'Canara Bank', 'Patil Station']","['3 Wardrobe', '7 Fan', '1 Exhaust Fan', '3 Geyser', '22 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",
  vatika gurgaon 21,1.95,sector 83,11252.16,flat,1733.0,3.0,3.0,not available,"Vatika Gurgaon 21 Sector 83, Gurgaon",0.0,north-east,5 to 10 Year Old,"['Huda Metro Station (Gurugram)', 'Sapphire 83 Mall', 'Vatika Sector Road', 'Gurgaon - Delhi Expy', 'Dwarka Expy', 'Euro International School, Sec 84', 'DPG Degree College', 'Aarvy Healthcare Super Speciality', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '20 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",
"  block b rajendra park, gurgaon",1.4,sector 105,,house,900.0,6.0,4.0,not available,"  block b rajendra park, gurgaon",2.0,north-west,Within 3 months,"['Palam Vihar Vyapar kendra', 'Chintapurni Mandir', 'State bank ATM', 'Chirag Hospital Pvt. Ltd', 'R K Hospital Gurgaon', 'Bhardwaj Hospital', 'Dr. Hitesh Dawar', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Sneh Hospital Gurgaon', 'Kalyan Hospital Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'Yashroop Medical Centre', 'Prateek Nursing Home And Polyclinic', 'Dr. Sindhu Clinic', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Kr Dental Hub', 'Shree Krishna Hospital Gurgaon', 'Gurgaon Eye Centre', 'Dr. Ashok Jain', 'GH Gurgaon', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Apna Enclave']","['5 Fan', '35 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,3
  experion wdchants,4.65,sector 112,,flat,,3.0,3.0,"study room,pooja room","Experion Windchants Sector 112, Gurgaon",13.0,east,1 to 5 Year Old,"['Ansal Plaza', 'Dwaraka Expressway', 'First Step Play School', 'Sri Ma Montessori International', 'Jai Sai Ram Hospital', 'Park Hospital', 'IGI Airport', 'Gurgaon Railway Station']","['1 Bed', '1 Fan', '1 Light', '1 AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",
  m3m heights,3.68,sector 65,18039.22,flat,2040.0,3.0,3.0,servant room,"M3M Heights Sector 65, Gurgaon",9.0,east,0 to 1 Year Old,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School', 'DPG Institute of Technology', 'Park Hospital', 'Indira Gandhi International Airport', 'Lemon Tree Hotel', 'SkyJumper Trampoline Park', 'PVR Drive in Theatre']","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '8 Light', '1 Chimney', '3 AC', '1 Modular Kitchen', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  south city 2, gurgaon",5.8,sector 49,,house,502.0,4.0,6.0,"servant room,pooja room,store room","  south city 2, gurgaon",5.0,na,1 to 5 Year Old,[],"['5 Wardrobe', '1 Water Purifier', '10 Fan', '1 Exhaust Fan', '1 Dining Table', '6 Geyser', '25 Light', '4 TV', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine']","['Security / Fire Alarm', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Rain Water Harvesting']",3+
  adani m2k oyster grande,3.3,sector 102,12795.66,flat,2579.0,3.0,3.0,"study room,servant room","Adani M2K Oyster Grande Sector 102, Gurgaon",1.0,east,1 to 5 Year Old,"['The Esplanade Mall', 'Dwarka Express Highway', 'Delhi Public School', 'SGT University', 'The Signature Hospital', 'Indira Gandhi Airport', 'Gurugram Railway Station', 'Nehru Stadium']","['1 Exhaust Fan', '1 Chimney', '6 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  palam vihar, gurgaon",4.25,sector 1,,house,1773.0,6.0,6.0,not available,"  palam vihar, gurgaon",3.0,north,1 to 5 Year Old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']","['5 Fan', '1 Exhaust Fan', '9 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Natural Light']",3
  ats kocoon,2.35,sector 109,13467.05,flat,1745.0,3.0,3.0,not available,"ATS Kocoon Sector 109, Gurgaon",6.0,east,1 to 5 Year Old,"['Jagdish Super Market', 'Dwarka', 'Euro International School', 'Gyaananda School', 'SCR Model School', 'Radha Krishan Mandir', 'ICICI BANK ATM, Annapurna MKT', 'ESIC Dispensary', 'IGIA Airport', 'Canara Bank New Palam Vihar', 'Gurgaon Gramin Bank', 'Daultabad Stadium', 'Bharat Petroleum Shree Shyam Filling', 'The Club, International City', 'Conscient One']","['3 Wardrobe', '4 Fan', '3 Geyser', '6 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",
"  dlf city plots, dlf phase 1, gurgaon",30.0,sector 26,,house,502.0,4.0,4.0,"pooja room,study room,servant room,store room","  dlf city plots, dlf phase 1, gurgaon",2.0,north,10+ Year Old,"['Phase 2 Metro Station', 'Grand Mall', 'Jacaranda Marg', 'NH 148A', 'Lancers International School', 'The NorthCap University', 'RBS HOSPITAL', 'Indira Gandhi Intl Airport']","['4 Bed', '3 Wardrobe', '2 Fan', '2 Geyser', '8 Light', '4 AC', '2 TV', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",3
"  sector 50, gurgaon",11.9,sector 50,,house,375.0,1.0,1.0,others,"  sector 50, gurgaon",1.0,north,1 to 5 Year Old,"['State bank ATM', 'Shri Multispeciality Hospital', 'Esic Hospital Gurugram', 'Shree Krishna Hospital Gurgaon', 'Kamla Hospital Gurgaon', 'Kr Dental Hub', 'Prateek Nursing Home And Polyclinic', 'Dr. Ashok Jain', 'Pearl Dental Clinic', 'Taneja Hospital', 'Ankur Clinic and Maternity Home', 'Dr. Hitesh Dawar', 'Navjeevan Hospital and Maternity Centre', 'Dr. Madan Clinic', 'Shri Balaji Hospital and Trauma Center', 'Shiv Mahima Patient Care Bureau', 'Dev Man Kathuria Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Yadav Hospital Gurgoan', 'Boxer Fuel Point', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Basai dhankot railway station']","['2 Fan', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Visitor Parking']",1
