society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore,areaToBedRatio
"  trump tower, sector 65, gurgaon",13.5,sector 65,29670.33,house,4550.0,5915.0,3867.5,4550.0,4.0,4.0,"  trump tower, sector 65, gurgaon",46.0,east,new property,3+,0,1,0,0,1,0,207,1137.5
  dlf the ultima,4.95,sector 81,16527.55,flat,2995.0,2995.0,2096.5,2545.75,4.0,4.0,"DLF The Ultima Sector 81, Gurgaon",8.0,north,relatively new property,,0,1,0,0,0,0,158,748.75
  ats triumph,2.65,sector 104,11572.05,flat,2290.0,2290.0,1488.5,1832.0,3.0,4.0,"ATS Triumph Sector 104, Gurgaon",8.0,east,relatively new property,,0,1,0,0,0,2,117,763.3333333333334
  indiabulls centrum park,2.9,sector 103,10086.96,flat,2875.0,2875.0,2012.4999999999998,2443.75,4.0,5.0,"Indiabulls Centrum Park Sector 103, Gurgaon",9.0,east,relatively new property,,0,1,0,0,0,2,69,718.75
  microtek greenburg,4.75,sector 86,15522.88,flat,3060.0,3060.0,2142.0,2601.0,4.0,5.0,"Microtek Greenburg Sector 86, Gurgaon",5.0,south-west,relatively new property,,0,1,1,0,0,1,94,765.0
"  palam vihar, gurgaon",5.75,sector 1,,house,,,,,4.0,4.0,"  palam vihar, gurgaon",2.0,na,relatively new property,3,1,1,1,0,1,2,151,
"  sushant lok phase 2, gurgaon",8.0,sector 56,,house,,,,,12.0,12.0,"  sushant lok phase 2, gurgaon",4.0,north,new property,3+,1,1,1,0,1,1,89,
"  sector 17a, gurgaon",4.45,sector 17,,house,,,,,6.0,4.0,"  sector 17a, gurgaon",2.0,west,relatively new property,3,1,1,0,0,1,1,117,
  emaar mgf emerald floors premier,3.95,sector 65,,flat,,,,,4.0,4.0,"Emaar MGF Emerald Floors Premier Sector 65, Gurgaon",2.0,east,moderatly old property,,0,0,1,0,0,2,59,
  ireo the grand arch,5.45,sector 58,22455.71,flat,2427.0,2427.0,1577.55,1941.6000000000001,3.0,4.0,"Ireo The Grand Arch sector 58, Gurgaon",14.0,east,moderatly old property,,1,1,1,0,0,1,180,809.0
"  ansal sushant lok plots, sushant lok phase 1, gurgaon",3.65,sector 43,,house,,,,,10.0,10.0,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",5.0,east,new property,3+,0,0,0,0,1,0,115,
"  international city by sobha phase 2, sector 109, gurgaon",14.0,sector 109,,house,,,,,4.0,4.0,"  international city by sobha phase 2, sector 109, gurgaon",3.0,na,new property,3+,1,1,1,0,1,2,197,
"  sector 43, gurgaon",6.5,sector 43,,house,,,,,9.0,6.0,"  sector 43, gurgaon",3.0,north,relatively new property,3,0,1,0,0,1,2,86,
  shapoorji pallonji joyville gurugram,2.5,sector 102,13683.63,flat,1827.0,1827.0,1187.55,1461.6000000000001,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",3.0,north-east,relatively new property,,1,0,0,0,0,1,221,609.0
  emaar gurgaon greens,1.8,sector 102,,flat,,,,,3.0,4.0,"Emaar Gurgaon Greens Sector 102, Gurgaon",7.0,north,relatively new property,,0,0,0,0,0,1,221,
  bestech park view sanskruti,2.25,sector 92,11278.2,flat,1995.0,1995.0,1296.75,1596.0,3.0,4.0,"Bestech Park View Sanskruti Sector 92, Gurgaon",11.0,north-east,relatively new property,,0,1,0,0,0,1,163,665.0
"  sector 7, gurgaon",4.5,sector 7,20000.0,house,2250.0,2925.0,1912.5,2250.0,8.0,7.0,"  sector 7, gurgaon",3.0,east,old property,3,1,1,1,1,0,1,50,281.25
  ramprastha primera,1.64,sector 37,9111.11,flat,1800.0,1800.0,1170.0,1440.0,3.0,3.0,"Ramprastha Primera Sector 37D, Gurgaon",15.0,south-east,relatively new property,,1,0,0,0,0,2,94,600.0
"  sushant lok 3 extension, gurgaon",12.0,sector 57,27210.88,house,4410.0,5733.0,3748.5,4410.0,5.0,4.0,"  sushant lok 3 extension, gurgaon",2.0,na,relatively new property,2,0,0,0,1,0,2,14,882.0
"  dlf city plots phase 4, dlf phase 4, gurgaon",2.45,sector 28,,house,,,,,3.0,3.0,"  dlf city plots phase 4, dlf phase 4, gurgaon",3.0,north-west,moderatly old property,2,0,0,1,0,0,1,192,
"  sector 45, gurgaon",4.1,sector 45,,house,,,,,5.0,5.0,"  sector 45, gurgaon",4.0,east,moderatly old property,2,0,0,0,1,0,1,21,
  sobha city,2.42,sector 108,17523.53,flat,1381.0,1381.0,828.6,1035.75,2.0,2.0,"Sobha City Sector 108, Gurgaon",9.0,north-east,relatively new property,,0,0,0,0,0,2,221,690.5
"  bptp visionnaire, sector 70a, gurgaon",6.75,sector 70,11323.6,house,5961.0,7749.3,5066.849999999999,5961.0,5.0,6.0,"  bptp visionnaire, sector 70a, gurgaon",2.0,north,new property,3+,1,1,0,0,0,2,207,1192.2
  bestech park view grand spa,3.6,sector 81,13533.83,flat,2660.0,2660.0,1729.0,2128.0,3.0,4.0,"Bestech Park View Grand Spa Sector 81, Gurgaon",11.0,north-east,relatively new property,,0,1,0,0,0,0,144,886.6666666666666
  vatika gurgaon 21,1.88,sector 83,10835.73,flat,1735.0,1735.0,1127.75,1388.0,3.0,3.0,"Vatika Gurgaon 21 Sector 83, Gurgaon",16.0,north,moderatly old property,,0,0,0,0,1,2,143,578.3333333333334
  m3m woodshire,1.65,sector 107,8492.02,flat,1943.0,1943.0,1262.95,1554.4,3.0,3.0,"M3M Woodshire Sector 107, Gurgaon",7.0,west,relatively new property,,1,0,0,0,0,2,221,647.6666666666666
  paras dews,1.5,sector 106,10830.32,flat,1385.0,1385.0,831.0,1038.75,2.0,2.0,"Paras Dews Sector 106, Gurgaon",3.0,east,relatively new property,,0,0,0,0,0,2,93,692.5
"  laxman vihar phase 2, gurgaon",0.85,sector 46,14529.91,house,585.0,702.0,438.75,585.0,2.0,2.0,"  laxman vihar phase 2, gurgaon",2.0,north,new property,1,1,0,1,0,1,2,44,292.5
  dlf park place,5.9,sector 54,29752.9,flat,1983.0,1983.0,1288.95,1586.4,3.0,4.0,"DLF Park Place Sector 54, Gurgaon",18.0,south-east,old property,,0,1,0,0,0,1,188,661.0
  ramprastha the edge towers,1.3,sector 37,7761.19,flat,1675.0,1675.0,1088.75,1340.0,3.0,3.0,"Ramprastha The Edge Towers Sector 37D, Gurgaon",7.0,west,relatively new property,,0,0,0,0,0,2,108,558.3333333333334
"  sector 46, gurgaon",3.4,sector 46,,house,,,,,2.0,2.0,"  sector 46, gurgaon",2.0,north-west,moderatly old property,3+,1,0,0,0,0,2,72,
  emaar palm gardens,2.6,sector 83,13684.21,flat,1900.0,1900.0,1235.0,1520.0,3.0,4.0,"Emaar Palm Gardens Sector 83, Gurgaon",2.0,east,relatively new property,,0,1,1,0,0,1,171,633.3333333333334
  sobha city,2.55,sector 108,18464.88,flat,1381.0,1381.0,828.6,1035.75,2.0,2.0,"Sobha City Sector 108, Gurgaon",2.0,north-east,relatively new property,,0,0,0,0,0,1,221,690.5
  shree vardhman flora,1.7,sector 90,9066.67,flat,1875.0,1875.0,1218.75,1500.0,3.0,4.0,"Shree Vardhman Flora Sector 90, Gurgaon",2.0,north,relatively new property,,0,1,0,0,0,2,212,625.0
"  sector 21 rwa, pocket e sector-21, gurgaon",4.05,pocket e sector-21,,house,,,,,4.0,4.0,"  sector 21 rwa, pocket e sector-21, gurgaon",1.0,west,old property,2,0,0,0,0,1,1,172,
  vipul greens,4.1,sector 48,18894.01,flat,2170.0,2170.0,1519.0,1844.5,4.0,5.0,"Vipul Greens Sector 48, Gurgaon",10.0,north,old property,,0,1,0,0,0,1,206,542.5
"  dlf phase 3, gurgaon",13.0,sector 23,28888.89,house,4500.0,5850.0,3825.0,4500.0,5.0,6.0,"  dlf phase 3, gurgaon",3.0,north-east,relatively new property,2,1,1,0,0,1,2,199,900.0
  emaar palm heights,2.95,sector 77,14567.9,flat,2025.0,2025.0,1316.25,1620.0,3.0,3.0,"Emaar Palm Heights Sector 77, Gurgaon",20.0,north-east,new property,,0,1,0,0,0,1,87,675.0
"  arjun marg 18mtr , dlf phase 1, gurgaon",19.0,sector 26,33450.7,house,5680.0,7384.0,4828.0,5680.0,7.0,8.0,"  arjun marg 18mtr , dlf phase 1, gurgaon",3.0,east,relatively new property,3+,1,1,1,1,0,1,63,811.4285714285714
  godrej meridien,2.79,sector 106,15040.43,flat,1855.0,1855.0,1205.75,1484.0,3.0,3.0,"Godrej Meridien Sector 106, Gurgaon",18.0,north-east,new property,,0,0,0,0,0,1,100,618.3333333333334
  godrej habitat,1.27,sector 3,8193.55,flat,1550.0,1550.0,930.0,1162.5,2.0,2.0,"Godrej Habitat Sector 3, Gurgaon",8.0,east,new property,,1,0,0,0,0,2,71,775.0
  puri emerald bay,3.6,sector 104,14693.88,flat,2450.0,2450.0,1592.5,1960.0,3.0,4.0,"Puri Emerald Bay Sector 104, Gurgaon",12.0,north,relatively new property,,0,1,0,0,0,1,151,816.6666666666666
  m3m woodshire,1.25,sector 107,9150.81,flat,1366.0,1366.0,819.6,1024.5,2.0,2.0,"M3M Woodshire Sector 107, Gurgaon",6.0,east,relatively new property,,0,0,0,0,0,2,110,683.0
  dlf the primus,3.6,sector 82,17257.91,flat,2086.0,2086.0,1355.9,1668.8000000000002,3.0,4.0,"DLF The Primus Sector 82A, Gurgaon",10.0,east,relatively new property,,0,1,0,0,0,0,197,695.3333333333334
  tulip ivory,3.25,sector 70,13541.67,flat,2400.0,2400.0,1680.0,2040.0,4.0,4.0,"Tulip Ivory Sector 70, Gurgaon",6.0,na,moderatly old property,,0,1,0,0,0,1,80,600.0
"  ansal florence super, sector 57, gurgaon",7.0,sector 57,,house,,,,,3.0,3.0,"  ansal florence super, sector 57, gurgaon",2.0,east,old property,3,0,1,0,0,0,2,106,
  pioneer park,2.55,sector 61,15000.0,flat,1700.0,1700.0,1105.0,1360.0,3.0,3.0,"Pioneer Park Sector 61, Gurgaon",9.0,north-west,relatively new property,,0,0,0,0,0,2,87,566.6666666666666
  ats kocoon,2.65,sector 109,12649.16,flat,2095.0,2095.0,1361.75,1676.0,3.0,3.0,"ATS Kocoon Sector 109, Gurgaon",21.0,west,relatively new property,,0,1,0,0,0,2,76,698.3333333333334
  ats marigold,2.12,sector 89,12114.29,flat,1750.0,1750.0,1137.5,1400.0,3.0,3.0,"ATS Marigold Sector 89 A, Gurgaon",7.0,east,new property,,0,0,0,0,0,2,101,583.3333333333334
"  sector 38, gurgaon",6.0,sector 38,,house,,,,,6.0,6.0,"  sector 38, gurgaon",3.0,north-east,relatively new property,3+,1,1,1,0,1,2,87,
  ramprastha the edge towers,1.5,sector 37,8955.22,flat,1675.0,1675.0,1088.75,1340.0,3.0,3.0,"Ramprastha The Edge Towers Sector 37D, Gurgaon",1.0,south-west,relatively new property,,1,0,0,0,0,2,46,558.3333333333334
"  independent buildg 8 marla, sector 41, gurgaon",6.1,sector 41,,house,,,,,4.0,4.0,"  independent buildg 8 marla, sector 41, gurgaon",4.0,na,old property,3,1,1,1,0,1,1,94,
"  b block, rosewood city, gurgaon",15.2,sector 49,39276.49,house,3870.0,5031.0,3289.5,3870.0,6.0,6.0,"  b block, rosewood city, gurgaon",3.0,north-east,relatively new property,3+,1,1,1,0,1,0,190,645.0
"  eros rosewood city, sector 49, gurgaon",14.5,sector 49,30687.83,house,4725.0,6142.5,4016.25,4725.0,4.0,4.0,"  eros rosewood city, sector 49, gurgaon",3.0,east,moderatly old property,3,1,0,0,0,0,1,70,1181.25
  ss the coralwood,1.98,sector 84,10476.19,flat,1890.0,1890.0,1228.5,1512.0,3.0,3.0,"SS The Coralwood Sector 84, Gurgaon",9.0,north-east,new property,,0,1,0,0,0,1,124,630.0
"  bptp astaire gardens, sector 70a, gurgaon",9.5,sector 70,,house,,,,,5.0,5.0,"  bptp astaire gardens, sector 70a, gurgaon",2.0,south-west,new property,3+,1,1,1,0,0,2,56,
"  sector 45, sector 45, gurgaon",3.5,sector 45,,house,,,,,3.0,3.0,"  sector 45, sector 45, gurgaon",3.0,north-east,relatively new property,2,0,0,0,0,0,1,105,
"  sector 39, gurgaon",3.9,sector 39,,house,,,,,12.0,4.0,"  sector 39, gurgaon",4.0,north-east,relatively new property,3+,1,1,1,0,1,0,60,
"  dlf phase 2, dlf phase 2, gurgaon",13.5,sector 25,,house,,,,,15.0,15.0,"  dlf phase 2, dlf phase 2, gurgaon",3.0,na,moderatly old property,3+,0,0,0,0,0,2,36,
"  block c, sushant lok phase 1, gurgaon",6.6,sector 43,,house,,,,,3.0,3.0,"  block c, sushant lok phase 1, gurgaon",2.0,west,old property,3,1,0,1,0,1,2,71,
  mapsko mount ville,3.45,sector 79,12730.63,flat,2710.0,2710.0,1896.9999999999998,2303.5,4.0,5.0,"Mapsko Mount Ville Sector 79, Gurgaon",21.0,north,relatively new property,,0,1,0,0,0,1,197,677.5
"  nirvana country, gurgaon",16.5,sector 50,36520.58,house,4518.0,5873.400000000001,3840.2999999999997,4518.0,6.0,7.0,"  nirvana country, gurgaon",3.0,north-east,relatively new property,3,1,1,1,0,1,1,199,753.0
"  garden villas, dlf phase 4, gurgaon",14.5,sector 28,,house,,,,,5.0,6.0,"  garden villas, dlf phase 4, gurgaon",2.0,east,moderatly old property,3+,1,1,1,0,0,1,133,
"  rwa sector 46, sector 46, gurgaon",3.65,sector 46,4506.17,house,8100.0,10530.0,6885.0,8100.0,4.0,4.0,"  rwa sector 46, sector 46, gurgaon",3.0,north-east,moderatly old property,2,0,0,1,0,1,1,45,2025.0
"  nirvana country, gurgaon",14.74,sector 50,,house,,,,,6.0,8.0,"  nirvana country, gurgaon",3.0,north-east,relatively new property,3,1,1,1,0,1,1,199,
  tata primanti,7.15,sector 72,21311.48,flat,3355.0,3355.0,2348.5,2851.75,4.0,4.0,"Tata Primanti Sector 72, Gurgaon",29.0,north,new property,,0,1,0,0,0,1,221,838.75
  m3m golfestate,15.92,sector 65,25011.78,flat,6365.0,6365.0,4455.5,5410.25,4.0,5.0,"M3M Golfestate Sector 65, Gurgaon",32.0,east,relatively new property,,1,1,1,0,1,0,221,1591.25
"  mapsko casa bella, sector 82, gurgaon",5.25,sector 82,,house,,,,,4.0,4.0,"  mapsko casa bella, sector 82, gurgaon",2.0,east,relatively new property,3+,0,1,0,0,0,2,119,
"  a block sushant lok phase 1, gurgaon",6.5,sector 43,,house,,,,,3.0,3.0,"  a block sushant lok phase 1, gurgaon",2.0,na,moderatly old property,1,0,1,0,0,0,2,29,
"  dlf city phase 1,e block, sector 26, gurgaon",3.0,sector 26,,house,,,,,4.0,4.0,"  dlf city phase 1,e block, sector 26, gurgaon",2.0,east,old property,3,0,0,0,0,0,2,21,
  experion the heartsong,5.9,sector 108,14101.34,flat,4184.0,4184.0,2928.7999999999997,3556.4,4.0,5.0,"Experion The Heartsong Sector 108, Gurgaon",14.0,east,relatively new property,,1,1,1,0,0,2,87,1046.0
  emaar mgf the palm drive,4.0,sector 66,20512.82,flat,1950.0,1950.0,1267.5,1560.0,3.0,3.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",3.0,south-east,moderatly old property,,0,1,0,0,0,1,194,650.0
  tata primanti,6.9,sector 72,20566.32,flat,3355.0,3355.0,2348.5,2851.75,4.0,4.0,"Tata Primanti Sector 72, Gurgaon",15.0,north-east,relatively new property,,0,1,0,0,0,2,203,838.75
  vatika the seven lamps,1.58,sector 82,11048.95,flat,1430.0,1430.0,858.0,1072.5,2.0,2.0,"Vatika The Seven Lamps Sector 82, Gurgaon",6.0,east,relatively new property,,0,0,1,0,0,2,154,715.0
"  ansal sushant lok plots, sushant lok phase 1, gurgaon",3.9,sector 43,,house,,,,,10.0,10.0,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",5.0,north-east,relatively new property,3+,0,0,1,0,0,0,167,
"  anant raj manor villas, sector 63, gurgaon",8.0,sector 63,,house,,,,,5.0,4.0,"  anant raj manor villas, sector 63, gurgaon",3.0,north,new property,3+,1,1,1,0,0,2,111,
"  dlf phase 4, gurgaon",19.25,sector 28,50564.75,house,3807.0,4949.1,3235.95,3807.0,6.0,7.0,"  dlf phase 4, gurgaon",4.0,west,moderatly old property,3+,1,1,1,1,0,0,63,634.5
"  sector 38 rwa, sector 38, gurgaon",2.4,sector 38,,house,,,,,6.0,4.0,"  sector 38 rwa, sector 38, gurgaon",4.0,east,moderatly old property,3,0,0,0,0,1,2,21,
  orchid petals,3.1,sector 49,17174.52,flat,1805.0,1805.0,1173.25,1444.0,3.0,3.0,"Orchid Petals South City 2, Gurgaon",6.0,north,relatively new property,,0,0,0,1,0,1,221,601.6666666666666
"  sector 51, gurgaon",3.75,sector 51,,house,,,,,6.0,6.0,"  sector 51, gurgaon",3.0,west,relatively new property,3+,1,1,1,0,1,1,86,
"  sector 46, gurgaon",6.7,sector 46,,house,,,,,5.0,5.0,"  sector 46, gurgaon",2.0,north,moderatly old property,3+,1,1,1,0,1,1,114,
  mapsko mount ville,1.75,sector 79,11744.97,flat,1490.0,1490.0,968.5,1192.0,3.0,3.0,"Mapsko Mount Ville Sector 79, Gurgaon",8.0,south-west,relatively new property,,0,0,0,0,0,1,221,496.6666666666667
  bestech park view sanskruti,2.9,sector 92,11717.17,flat,2475.0,2475.0,1732.5,2103.75,4.0,5.0,"Bestech Park View Sanskruti Sector 92, Gurgaon",8.0,east,relatively new property,,0,1,0,0,0,2,172,618.75
"  block m south city 1, gurgaon",1.9,sector 41,,house,,,,,3.0,3.0,"  block m south city 1, gurgaon",3.0,north,old property,3+,1,0,0,0,0,1,198,
  ashiana the center court,2.3,sector 88,12041.88,flat,1910.0,1910.0,1241.5,1528.0,3.0,3.0,"Ashiana The Center Court Sector 88A, Gurgaon",8.0,north-east,relatively new property,,0,0,0,0,0,1,212,636.6666666666666
  bestech park view grand spa,3.51,sector 81,13195.49,flat,2660.0,2660.0,1729.0,2128.0,3.0,4.0,"Bestech Park View Grand Spa Sector 81, Gurgaon",7.0,north-west,relatively new property,,0,1,0,0,0,2,165,886.6666666666666
"  sector 80, gurgaon",2.7,sector 80,13810.74,house,1955.0,2443.75,1564.0,1955.0,3.0,2.0,"  sector 80, gurgaon",34.0,east,under construction,3+,0,0,0,0,0,2,59,651.6666666666666
  shapoorji pallonji joyville gurugram,2.65,sector 102,14308.86,flat,1852.0,1852.0,1203.8,1481.6000000000001,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",17.0,north-east,new property,,1,0,0,0,0,2,160,617.3333333333334
  bptp terra,2.1,sector 37,11188.07,flat,1877.0,1877.0,1220.05,1501.6000000000001,3.0,3.0,"BPTP Terra Sector 37D, Gurgaon",5.0,east,relatively new property,,0,0,0,0,0,2,221,625.6666666666666
"  unitech nirvana birch court, nirvana country, gurgaon",10.5,sector 50,,house,,,,,3.0,2.0,"  unitech nirvana birch court, nirvana country, gurgaon",1.0,south,moderatly old property,2,0,1,0,0,1,1,133,
"  south city 1, gurgaon",15.45,sector 41,16263.16,house,9500.0,12350.0,8075.0,9500.0,6.0,7.0,"  south city 1, gurgaon",3.0,north-west,moderatly old property,3,1,1,1,0,1,1,199,1583.3333333333333
"  emaar mgf marbella, sector 66, gurgaon",20.0,sector 66,44444.44,house,4500.0,5850.0,3825.0,4500.0,5.0,6.0,"  emaar mgf marbella, sector 66, gurgaon",3.0,north-east,relatively new property,3+,1,1,1,1,0,1,186,900.0
"  sector 112, gurgaon",1.7,sector 112,,house,,,,,2.0,2.0,"  sector 112, gurgaon",2.0,north-east,relatively new property,1,0,0,0,0,0,2,37,
"  sector 45, gurgaon",16.4,sector 45,36083.61,house,4545.0,5908.5,3863.25,4545.0,6.0,9.0,"  sector 45, gurgaon",4.0,south-west,relatively new property,3+,1,1,0,0,1,0,164,757.5
"  international city by sobha phase 2, sector 109, gurgaon",23.0,sector 109,37581.7,house,6120.0,7956.0,5202.0,6120.0,7.0,9.0,"  international city by sobha phase 2, sector 109, gurgaon",3.0,na,new property,3+,1,1,1,0,1,2,207,874.2857142857143
  emaar gurgaon greens,1.87,sector 102,11333.33,flat,1650.0,1650.0,1072.5,1320.0,3.0,4.0,"Emaar Gurgaon Greens Sector 102, Gurgaon",9.0,north-east,relatively new property,,0,1,0,0,0,2,159,550.0
"  dlf phase 4, gurgaon",11.0,sector 28,,house,,,,,6.0,8.0,"  dlf phase 4, gurgaon",4.0,north-east,relatively new property,3,1,1,1,0,1,1,199,
  ireo uptown,3.1,sector 66,16559.83,flat,1872.0,1872.0,1216.8,1497.6000000000001,3.0,4.0,"Ireo Uptown Sector 66, Gurgaon",14.0,north-west,moderatly old property,,0,1,0,1,0,1,140,624.0
  mapsko mount ville,3.4,sector 79,12546.13,flat,2710.0,2710.0,1896.9999999999998,2303.5,4.0,5.0,"Mapsko Mount Ville Sector 79, Gurgaon",14.0,east,relatively new property,,0,1,0,0,0,1,221,677.5
"  emaar the palm sprgs, sector 54, gurgaon",27.0,sector 54,42075.74,house,6417.0,8342.1,5454.45,6417.0,5.0,5.0,"  emaar the palm sprgs, sector 54, gurgaon",4.0,north,relatively new property,3+,1,1,1,0,1,0,207,1283.4
"  sector 31, sector 31, gurgaon",9.0,sector 31,,house,,,,,12.0,12.0,"  sector 31, sector 31, gurgaon",4.0,north-east,relatively new property,3+,1,0,0,0,0,1,111,
"  vatika signature villas, sector 82, gurgaon",5.6,sector 82,,house,,,,,4.0,4.0,"  vatika signature villas, sector 82, gurgaon",2.0,north,relatively new property,3,1,1,0,1,0,1,207,
"  b block sushant lok phase 1, gurgaon",9.5,sector 43,,house,,,,,5.0,5.0,"  b block sushant lok phase 1, gurgaon",2.0,east,old property,3+,1,1,1,1,0,2,63,
  paras irene,2.93,sector 70,16010.93,flat,1830.0,1830.0,1189.5,1464.0,3.0,3.0,"Paras Irene Sector 70A, Gurgaon",2.0,north,moderatly old property,,0,1,0,0,0,2,59,610.0
  pareena mi casa,1.49,sector 68,11967.87,flat,1245.0,1245.0,747.0,933.75,2.0,2.0,"Pareena Mi Casa Sector 68, Gurgaon",10.0,east,new property,,0,0,0,0,0,1,221,622.5
"  south city 1 , sector 41, gurgaon",7.0,sector 41,12704.17,house,5510.0,7163.0,4683.5,5510.0,9.0,9.0,"  south city 1 , sector 41, gurgaon",3.0,east,moderatly old property,3,1,1,0,0,0,1,45,612.2222222222222
"  sector 10a, gurgaon",2.4,sector 10,26666.67,house,900.0,1170.0,765.0,900.0,4.0,4.0,"  sector 10a, gurgaon",3.0,east,relatively new property,3+,0,0,1,0,1,2,152,225.0
  ireo skyon,4.0,sector 60,19047.62,flat,2100.0,2100.0,1365.0,1680.0,3.0,3.0,"Ireo Skyon Sector 60, Gurgaon",5.0,north,moderatly old property,,0,1,0,0,0,1,170,700.0
"  sushant lok phase 1, gurgaon",8.9,sector 43,,house,,,,,5.0,6.0,"  sushant lok phase 1, gurgaon",3.0,north-east,relatively new property,3,1,1,1,0,1,1,199,
  indiabulls enigma,5.5,sector 110,14175.26,flat,3880.0,3880.0,2716.0,3298.0,5.0,5.0,"Indiabulls Enigma Sector 110, Gurgaon",10.0,east,relatively new property,,0,1,1,0,0,1,162,776.0
  sobha city,3.35,sector 108,19579.19,flat,1711.0,1711.0,1112.15,1368.8000000000002,3.0,3.0,"Sobha City Sector 108, Gurgaon",4.0,east,new property,,0,0,0,0,0,2,169,570.3333333333334
  m3m golfestate,7.5,sector 65,24061.6,flat,3117.0,3117.0,2026.0500000000002,2493.6000000000004,3.0,4.0,"M3M Golfestate Sector 65, Gurgaon",5.0,na,moderatly old property,,0,1,1,0,1,1,221,1039.0
"  international city by sobha phase 1, sector 109, gurgaon",9.2,sector 109,,house,,,,,5.0,7.0,"  international city by sobha phase 1, sector 109, gurgaon",2.0,west,relatively new property,3,0,1,0,1,0,1,193,
"  anant raj manor villas, sector 63, gurgaon",11.0,sector 63,20000.0,house,5500.0,7150.0,4675.0,5500.0,5.0,6.0,"  anant raj manor villas, sector 63, gurgaon",3.0,north,new property,3+,1,1,1,0,1,0,207,1100.0
"  garden estate, dlf city, gurgaon",12.75,sector 24,23611.11,house,5400.0,7020.0,4590.0,5400.0,4.0,4.0,"  garden estate, dlf city, gurgaon",3.0,north-east,moderatly old property,2,1,1,1,0,0,1,107,1350.0
"  jyoti park, gurgaon",1.4,sector 7,,house,,,,,2.0,2.0,"  jyoti park, gurgaon",2.0,north-east,moderatly old property,1,0,0,0,0,0,2,18,
  dlf the ultima,3.69,sector 81,17307.69,flat,2132.0,2132.0,1385.8,1705.6000000000001,3.0,3.0,"DLF The Ultima Sector 81, Gurgaon",27.0,north-east,relatively new property,,0,1,0,0,0,0,110,710.6666666666666
"  sector 40, gurgaon",3.5,sector 40,4320.99,house,8100.0,10530.0,6885.0,8100.0,6.0,6.0,"  sector 40, gurgaon",3.0,north-east,moderatly old property,2,1,0,0,0,0,1,121,1350.0
"  dlf phase 2, gurgaon",7.49,sector 25,,house,,,,,4.0,4.0,"  dlf phase 2, gurgaon",2.0,north-east,moderatly old property,2,0,0,0,0,0,0,45,
  dlf the ultima,3.7,sector 81,17593.91,flat,2103.0,2103.0,1366.95,1682.4,3.0,3.0,"DLF The Ultima Sector 81, Gurgaon",18.0,east,relatively new property,,0,1,0,0,0,0,110,701.0
"  park facing brand new luxury kothi, dlf phase 1, gurgaon",24.0,sector 26,,house,,,,,5.0,8.0,"  park facing brand new luxury kothi, dlf phase 1, gurgaon",3.0,north-east,new property,3+,1,1,1,0,0,1,183,
"  sobha international city phase 4, sector 109, gurgaon",23.5,sector 109,38971.81,house,6030.0,7839.0,5125.5,6030.0,6.0,7.0,"  sobha international city phase 4, sector 109, gurgaon",4.0,north-east,relatively new property,3+,1,1,1,0,1,2,180,1005.0
"  smart world gems, sector 89, gurgaon",1.44,sector 89,,house,,,,,3.0,3.0,"  smart world gems, sector 89, gurgaon",4.0,north-east,new property,3,1,0,0,0,0,2,184,
  ats triumph,2.6,sector 104,11353.71,flat,2290.0,2290.0,1488.5,1832.0,3.0,4.0,"ATS Triumph Sector 104, Gurgaon",8.0,east,relatively new property,,0,1,0,0,0,2,221,763.3333333333334
"  vipul tatvam villa, sector 48, gurgaon",9.5,sector 48,,house,,,,,4.0,4.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,north-east,moderatly old property,3,1,1,1,0,1,1,23,
  adani m2k oyster grande,5.8,sector 102,12752.86,flat,4548.0,4548.0,3183.6,3865.7999999999997,4.0,6.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",5.0,north-east,relatively new property,,0,1,0,0,0,2,100,1137.0
  adani m2k oyster grande,2.55,sector 102,13499.21,flat,1889.0,1889.0,1227.8500000000001,1511.2,3.0,4.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",9.0,north-east,relatively new property,,0,1,0,0,0,1,110,629.6666666666666
"  nirvana country, gurgaon",11.5,sector 50,,house,,,,,3.0,3.0,"  nirvana country, gurgaon",1.0,east,old property,3+,0,1,0,0,0,2,96,
  m3m st andrews,16.32,sector 65,25640.22,flat,6365.0,6365.0,4455.5,5410.25,4.0,6.0,"M3M St Andrews Sector 65, Gurgaon",22.0,north,relatively new property,,1,1,1,0,0,1,221,1591.25
  dlf the primus,2.95,sector 82,16226.62,flat,1818.0,1818.0,1181.7,1454.4,3.0,3.0,"DLF The Primus Sector 82A, Gurgaon",24.0,east,relatively new property,,0,0,0,0,0,0,124,606.0
  emaar digihomes,3.6,sector 62,23872.68,flat,1508.0,1508.0,904.8,1131.0,2.0,2.0,"Emaar Digihomes Sector 62, Gurgaon",20.0,na,relatively new property,,0,0,0,0,0,1,87,754.0
