,society,price,area,areaWithType,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,description,furnishDetails,features,propertyId,links
937, in ATS Tourmaline,2.05 Crore,1750.0,1466.0,3 Bedrooms,3 Bathrooms,,"ATS Tourmaline
Sector 109, Gurgaon",12nd   of 27 Floors,East,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'NeoSquare Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Accenture DDC5', 'Hyatt Place Gurgaon Udyog Vihar', 'Hamoni Golf Camp', 'Nehru Stadium']","This lovely 3 bhk apartment/flat in sector 109 gurgaon is available for sale in one of gurgaon's most popular projects, ats tourmaline. This property faces the east direction. The flat is over 1750 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and more than 3 balconies. The pro...","['5 Fan', '1 Exhaust Fan', '3 Geyser', '7 Light', '3 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",Z77187103,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-tourmaline-sector-109-gurgaon-1750-sq-ft-r2-spid-Z77187103
938, in Unitech Harmony,3.55 Crore,2711.0,2710.0,3 Bedrooms,4 Bathrooms,"Others,Servant Room,Pooja Room","Unitech Harmony
Nirvana Country, Gurgaon",12nd   of 19 Floors,North,5 to 10 Year Old,"['Huda Metro Station (Gurugram)', 'M3M Cosmopolitan Mall', 'Golf Course Ext Road', 'The Sylvan Trails School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Leisure Valley Park', 'Vipul Trade Centre', 'Hyatt Regency Hotel', ""Oyster's Water Park"", 'DLF Golf and Country Club', 'F9 Go Karting Gurgaon']","This lovely 3 bhk apartment/flat in nirvana country is available for sale in one of gurgaon's most popular projects, unitech harmony. This is a north-Facing property. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and 2 balconies. All in all, the flat is spread over a super built up ...","['1 Fridge', '5 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '12 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '5 AC', '3 Wardrobe', '1 Microwave', 'No Bed', 'No Dining Table', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",Q79952143,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-harmony-nirvana-country-gurgaon-2711-sq-ft-spid-Q79952143
939, in Brisk Lumbini Terrace Homes,2.45 Crore,2875.0,2775.0,4 Bedrooms,4 Bathrooms,Servant Room,"Brisk Lumbini Terrace Homes
Sector 109, Gurgaon",9th   of 24 Floors,East,1 to 5 Year Old,"['Dwarka Sector 21', 'AMBIENCE MALL', 'Greenwood Public', 'The NorthCap', 'Aryan Hospital', 'IGI', 'Gurgaon Old Railway', 'The Oberoi', 'Appu Ghar', 'BSF Golf Course', 'The sports park']","Brisk lumbini terrace homes is one of the most popular destination for buying apartments/ flats in sector 109 gurgaon. You too can be a part of this society by purchasing this 4 bhk flat here. The flat is facing the east direction. Constructed on a super built up area of 2875 sq.Ft., the flat compri...","['4 Bed', '4 Wardrobe', '5 Fan', '1 Exhaust Fan', '4 Geyser', '6 Light', '4 AC', '4 TV', '1 Modular Kitchen', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",V79093561,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-brisk-lumbini-terrace-homes-sector-109-gurgaon-2875-sq-ft-spid-V79093561
940, in Paras Dews,1.89 Crore,2355.0,1660.0,4 Bedrooms,5 Bathrooms,Servant Room,"Paras Dews
Sector 106, Gurgaon",10th   of 24 Floors,East,5 to 10 Year Old,"['MG Road Metro Station', 'NeoSquare Shopping Mall', 'Dwarka Expressway', 'Glorious World School', 'DPG Institute of Technology', 'Chirag Hospital', 'Indira Gandhi International Airport', 'Gurgaon', 'Country Inn & Suites by Radisson', 'SkyJumper Trampoline Park', 'Hamoni Golf Camp']",Paras dews is one of the most popular destination for buying apartments/ flats in sector 106 gurgaon. You too can be a part of this society by purchasing this 4 bhk flat here. This residential flat is east-Facing direction. The flat occupies a super built up area of 2355 sq.Ft. That consists of 4 be...,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",,S80526771,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-paras-dews-sector-106-gurgaon-2355-sq-ft-spid-S80526771
941, in Ramprastha The Edge Towers,1.02 Crore,1380.0,1370.0,2 Bedrooms,2 Bathrooms,Others,"Ramprastha The Edge Towers
Sector 37D, Gurgaon",12nd   of 19 Floors,North-East,0 to 1 Year Old,"['The Esplanade Mall', 'Dwarka Express', 'Euro International School', 'Narayana Junior College', 'Yashroop Hospital', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'Aboard Offices Complex', 'Holiday Inn Hotel']","A 2 bedroom resale flat, located in sector-37d, gurgaon, is available. It is a ready to move in unfurnished flat located in ramprastha the edge towers. Situated in a prominent locality, it is a 0-1 year old, which is in its prime condition. The flat is on the 12th floor of the building. Aestheticall...","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",,R48767577,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-edge-towers-sector-37d-gurgaon-1380-sq-ft-r14-spid-R48767577
942, in Vatika The Seven Lamps,2.85 Crore,2425.0,2000.0,4 Bedrooms,4 Bathrooms,"Servant Room,Pooja Room,Study Room","Vatika The Seven Lamps
Sector 82, Gurgaon",5th   of 16 Floors,North,1 to 5 Year Old,"['SS Omnia Mall', 'Golf Course Ext Rd', 'Knowledge Tree World School', 'DPG Institute of Technology', 'Arc Multi Speciality Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Hyatt Regency Gurgaon', 'SkyJumper Trampoline Park', 'Nakhrola Stadium']","Vatika the seven lamps in sector 82, gurgaon is a ready-To-Move housing society. It offers apartments and independent floors in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 2bhk, 3bhk and ...","['4 Wardrobe', '6 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '15 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",P79947871,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vatika-the-seven-lamps-sector-82-gurgaon-2425-sq-ft-spid-P79947871
943, in Emaar Gurgaon Greens,1.85 Crore,,1400.0,3 Bedrooms,3 Bathrooms,Servant Room,"Emaar Gurgaon Greens
Sector 102, Gurgaon",5th   of 14 Floors,,5 to 10 Year Old,"['JMS Marine Square Mall', 'Dwarka Expressway', 'Basai Road', 'Prime Scholars Int. School', 'DPG Institute of Technology', 'Vibrant Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'SkyJumper Trampoline Park', 'Ramgarh Farms & Resort']",3 bhk with sevent room 1650 sq ft is available on immediate sale emmar gurgaon green sector-102 gurugram. Feel free to contact any more details.,"['5 Wardrobe', '9 Fan', '1 Exhaust Fan', '3 Geyser', '10 Light', '1 Chimney', '6 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Swimming Pool', 'Maintenance Staff', 'False Ceiling Lighting', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",P79302763,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-gurgaon-greens-sector-102-gurgaon-1400-sq-ft-spid-P79302763
944, in Indiabulls Centrum Park,2.75 Crore,2875.0,,4 Bedrooms,6 Bathrooms,Servant Room,"Indiabulls Centrum Park
Sector 103, Gurgaon",20th   of 25 Floors,North-East,5 to 10 Year Old,"['Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Gurgaon Expressway', 'S N International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Emaar Business Park', 'Country Inn and Suites by Radisson', 'Sector 29 Gurgaon Pubs and Bars', 'HUDA Mini Golf Course', 'Infinitys Badminton Academy', 'F9 Go Karting Gurgaon']","Situated in sector 103 gurgaon, indiabulls centrum park is a well planned society that offers a pleasant living experience to its residents. This 4 bhk flat in gurgaon is your opportunity to be a part of this community. The flat is north-East-Facing. Constructed on a super built up area of 2875 sq.F...","['14 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",N80761283,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-centrum-park-sector-103-gurgaon-2875-sq-ft-spid-N80761283
945, in Ansal API Esencia,1.6 Crore,,1638.0,3 Bedrooms,3 Bathrooms,,"Ansal API Esencia
Sector 67, Gurgaon",3rd   of 4 Floors,,0 to 1 Year Old,"['Proposed Metro corridor', 'N.H-8', 'Golf Course Road', 'Shiskshantar', 'DPS', 'Amity', 'Pathways', 'GD Goenka', 'Medicity', 'Artemis', 'Max, Fortis', 'Apollo']","We are the proud owners of this 3 bhk apartment available in ranipokhari, sector 67 gurgaon, gurgaon. This unfurnished apartment is a 0-1 year old property, priced approximately at rs. 9768.00 per sq.Ft. Or rs. Rs1.6 crore.  it is a resale and a ready to move in apartment. The unit is located on 3rd...",,,P80890807,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-api-esencia-sector-67-gurgaon-1638-sq-ft-spid-P80890807
946, in Indiabulls Centrum Park,1.55 Crore,1481.0,,2 Bedrooms,2 Bathrooms,Study Room,"Indiabulls Centrum Park
Sector 103, Gurgaon",8th   of 10 Floors,North-East,1 to 5 Year Old,"['Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Gurgaon Expressway', 'S N International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Emaar Business Park', 'Country Inn and Suites by Radisson', 'Sector 29 Gurgaon Pubs and Bars', 'HUDA Mini Golf Course', 'Infinitys Badminton Academy', 'F9 Go Karting Gurgaon']",Indiabulls centrum park is one of gurgaon's most sought after destination for apartments and this 2 bhk flat in sector 103 gurgaon is your opportunity to be a part of this community. The flat occupies a super built up area of 1481 sq.Ft. That consists of 2 bedrooms and study room 2 bathrooms and 3 b...,"['3 Fan', '8 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Recently Renovated', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",O80751013,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-centrum-park-sector-103-gurgaon-1481-sq-ft-spid-O80751013
947, in Shree Vardhman Flora,1.2 Crore,1300.0,915.0,2 Bedrooms,2 Bathrooms,Study Room,"Shree Vardhman Flora
Sector 90, Gurgaon",7th   of 13 Floors,South-East,1 to 5 Year Old,"['IRIS Broadway Mall', 'Dwarka Expressway', 'Saraswati Model School', 'SGT University', 'Aarvy Healthcare Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Orchid Business Park', 'Holiday Inn Gurugram Sector 90', 'Flying Wings Badminton Academy']","Shree vardhman flora in sector 90, gurgaon is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 2bhk, 3bhk and 4bhk apartments available...","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",,G80131957,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-flora-sector-90-gurgaon-1300-sq-ft-spid-G80131957
948, in Vatika Gurgaon 21,2.1 Crore,1733.0,,3 Bedrooms,3 Bathrooms,,"Vatika Gurgaon 21
Sector 83, Gurgaon",4th   of 18 Floors,North-West,5 to 10 Year Old,"['Huda Metro Station (Gurugram)', 'Sapphire 83 Mall', 'Vatika Sector Road', 'Gurgaon - Delhi Expy', 'Dwarka Expy', 'Euro International School, Sec 84', 'DPG Degree College', 'Aarvy Healthcare Super Speciality', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","Available for sale in gurgaon-21 vatika india next sector-83 on nh-48 near by dwarka express way 
This unit is good condition and good location 3bedroom 3 washroom modular kitchen and dining area with excellent quality furniture new renovation park facing sun facing main road facing car parking powe...","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",,D79514667,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-gurgaon-21-sector-83-gurgaon-1733-sq-ft-spid-D79514667
949, in Vatika Gurgaon 21,1.95 Crore,1733.0,,3 Bedrooms,3 Bathrooms,,"Vatika Gurgaon 21
Sector 83, Gurgaon",Ground of 18 Floors,North-East,5 to 10 Year Old,"['Huda Metro Station (Gurugram)', 'Sapphire 83 Mall', 'Vatika Sector Road', 'Gurgaon - Delhi Expy', 'Dwarka Expy', 'Euro International School, Sec 84', 'DPG Degree College', 'Aarvy Healthcare Super Speciality', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","Available for sale in gurgaon-21 vatika india next sector-83 on nh-48 near by dwarka express way 
This unit is good condition and good location 3bedroom 3 washroom modular kitchen and dining area with excellent quality furniture new renovation park facing sun facing main road facing car parking powe...","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '20 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",W79514105,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-gurgaon-21-sector-83-gurgaon-1733-sq-ft-spid-W79514105
950, in Pareena Express Heights,3.68 Crore,,3505.0,4 Bedrooms,6 Bathrooms,"Servant Room,Others","Pareena Express Heights
Sector 99, Gurgaon",12nd   of 12 Floors,South-East,1 to 5 Year Old,"['Ocus Medley', 'Dwarka Expy, Sector 88', 'Euro Intl School, Sector 37D, Gurugram', 'Basant Valley School', 'SGT University', 'Vibrant Hospital', 'Indira Gandhi Intl Airport', 'Haier appliances India Pvt LTD']",Available for sale in sector-99 pareena expeess hieghts 5 bedroom 6 washroom many balcony covered car parking 100% power backup swimming pool gym club more details please contact,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",,V79405843,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-pareena-express-heights-sector-99-gurgaon-3505-sq-ft-spid-V79405843
951, in DLF The Skycourt,2.4 Crore,1929.0,,3 Bedrooms,3 Bathrooms,,"DLF The Skycourt
Sector 86, Gurgaon",3rd   of 19 Floors,North,1 to 5 Year Old,"['Sapphire 83 Mall', 'NH-8, Imt Manesar', 'Rao Bharat Singh International School', 'DPG Institute of Technology', 'Aarvy Healthcare', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'Aapno Ghar', 'National Tennis Academy Sector 98']","Prime location - In the heart of dlf gardencity.
Close to multi utility corridor which is the spine of dlf gardencity.
Close to commercial business district of gurgaon at sectors 74a/75a.
Close access from all points in delhi and gurgaon:","['3 Wardrobe', '5 Fan', '1 Geyser', '5 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",I79342665,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1929-sq-ft-spid-I79342665
952, in Emaar Mgf Palm Terraces Select,6 Crore,3670.0,,5 Bedrooms,5 Bathrooms,Servant Room,"Emaar Mgf Palm Terraces Select
Sector 66, Gurgaon",12nd   of 12 Floors,,5 to 10 Year Old,"['Sector 55/56 Metro Station', 'Omaxe Gurgaon Mall', 'Golf Course Ext Rd', 'Badshahpur Sohna Rd Hwy', 'DPS International Edge', 'Sushant University', 'Park Hospital', 'Indira Gandhi Intl Airport']","Emaar palm terrace select offers 3, 4 and 5 bhk premium apartments with the world class amenities like tower lobbies with access control, digital door lock at main gate, double height tower lobby, high speed elevators opening in your residence.Clubhouse at emaar palm terrace select is located on t...","['5 Wardrobe', '7 Fan', '1 Exhaust Fan', '5 Geyser', '16 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",H80829499,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-palm-terraces-select-sector-66-gurgaon-3670-sq-ft-spid-H80829499
953,,,,,,,,,,,,,,,,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-fresco-nirvana-country-gurgaon-1838-sq-ft-spid-G79555815
954, in ATS Triumph,2.6 Crore,2290.0,1862.0,3 Bedrooms,3 Bathrooms,Pooja Room,"ATS Triumph
Sector 104, Gurgaon",15th   of 27 Floors,North,1 to 5 Year Old,"['IFFCO Chowk Metro Station', 'The Esplanade Mall', 'Dhanwapur Road', 'Dwarka Expressway', 'Govt. PG College', 'Delhi Public School', 'The NorthCap University', 'Shree Krishna Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot', 'The Executive Centre', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']","This 3 bhk apartment is available for sale in ats triumph, one of the most prominent projects for flats in sector 104 gurgaon. The flat is north-East-Facing. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up...","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,I80475765,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-2290-sq-ft-spid-I80475765
955, in Emaar Gurgaon Greens,1.88 Crore,,1650.0,3 Bedrooms,3 Bathrooms,,"Emaar Gurgaon Greens
Sector 102, Gurgaon",5th   of 14 Floors,North-West,1 to 5 Year Old,"['JMS Marine Square Mall', 'Dwarka Expressway', 'Basai Road', 'Prime Scholars Int. School', 'DPG Institute of Technology', 'Vibrant Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'SkyJumper Trampoline Park', 'Ramgarh Farms & Resort']","This beautiful 3 bhk flat in sector 102 gurgaon is situated in emaar gurgaon greens, one of the popular residential society in gurgaon. The flat is north-West-Facing. The flat occupies a carpet area of 1650 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The residential building has...","['6 Fan', '1 Stove', '8 Light', '5 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",S79767157,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-gurgaon-greens-sector-102-gurgaon-1650-sq-ft-spid-S79767157
956, in Brisk Lumbini Terrace Homes,1.78 Crore,1871.0,1403.0,3 Bedrooms,3 Bathrooms,,"Brisk Lumbini Terrace Homes
Sector 109, Gurgaon",5th   of 14 Floors,North-West,1 to 5 Year Old,"['Dwarka Sector 21', 'AMBIENCE MALL', 'Greenwood Public', 'The NorthCap', 'Aryan Hospital', 'IGI', 'Gurgaon Old Railway', 'The Oberoi', 'Appu Ghar', 'BSF Golf Course', 'The sports park']","This 3 bhk apartment is available for sale in brisk lumbini terrace homes, one of the most prominent projects for flats in sector 109 gurgaon. Constructed on a super built up area of 1871 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 14 floors and this...","['1 Wardrobe', '3 Fan', '3 Geyser', '11 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",I80347577,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-brisk-lumbini-terrace-homes-sector-109-gurgaon-1871-sq-ft-spid-I80347577
957,,,,,,,,,,,,,,,,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-woodshire-sector-107-gurgaon-1536-sq-ft-spid-W77933531
